step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
275,2.75,5.5187,-0.580057,5.56585,-0.581083,-0.527531
276,2.76,5.5367,-0.601642,5.55976,-0.587845,-0.526584
277,2.77,5.51658,-0.591067,5.55369,-0.59297,-0.525721
278,2.78,5.5481,-0.626252,5.54748,-0.600891,-0.524704
279,2.79,5.5468,-0.610675,5.54143,-0.606561,-0.523815
280,2.8,5.5757,-0.628147,5.53539,-0.613295,-0.522874
281,2.81,5.58867,-0.60474,5.52965,-0.617127,-0.522109
282,2.82,5.55145,-0.677096,5.5231,-0.627512,-0.520934
283,2.83,5.46892,-0.595235,5.5169,-0.629227,-0.520228
284,2.84,5.50679,-0.614163,5.51075,-0.632509,-0.519449
285,2.85,5.46228,-0.629241,5.50426,-0.63696,-0.518578
286,2.86,5.5075,-0.638514,5.49795,-0.641786,-0.517706
287,2.87,5.4458,-0.626262,5.49147,-0.645062,-0.516894
288,2.88,5.52385,-0.619352,5.48546,-0.647239,-0.516184
289,2.89,5.47948,-0.650292,5.47899,-0.6522,-0.515289
290,2.9,5.45339,-0.667549,5.47225,-0.65835,-0.514308
291,2.91,5.41094,-0.657468,5.46543,-0.662999,-0.513393
292,2.92,5.48557,-0.689746,5.45871,-0.670149,-0.512364
293,2.93,5.4945,-0.675863,5.45218,-0.675267,-0.511455
294,2.94,5.41233,-0.667805,5.44536,-0.679234,-0.510574
295,2.95,5.49132,-0.661945,5.439,-0.682135,-0.509793
296,2.96,5.42564,-0.698555,5.43202,-0.688318,-0.508786
297,2.97,5.36686,-0.720521,5.42459,-0.696068,-0.507655
298,2.98,5.35993,-0.680389,5.41751,-0.699255,-0.506788
299,2.99,5.3444,-0.735373,5.4099,-0.70737,-0.505621
300,3,5.32144,-0.729523,5.40225,-0.714169,-0.504517
301,3.01,5.3951,-0.733808,5.39495,-0.720602,-0.503465
302,3.02,5.44884,-0.704641,5.3882,-0.723552,-0.502643
303,3.03,5.39176,-0.725138,5.38103,-0.728236,-0.501691
304,3.04,5.44516,-0.719388,5.37418,-0.731831,-0.500827
305,3.05,5.33398,-0.712647,5.3669,-0.734588,-0.499961
306,3.06,5.35254,-0.731051,5.35958,-0.738786,-0.499018
307,3.07,5.37283,-0.761433,5.3521,-0.745424,-0.497939
308,3.08,5.342,-0.74472,5.34466,-0.749867,-0.496973
309,3.09,5.32164,-0.783009,5.33681,-0.757537,-0.495804
310,3.1,5.40613,-0.749697,5.32969,-0.761167,-0.49491
311,3.11,5.33717,-0.76056,5.32217,-0.765566,-0.493939
312,3.12,5.31613,-0.755898,5.31463,-0.769115,-0.493008
313,3.13,5.31875,-0.755678,5.30714,-0.772282,-0.4921
314,3.14,5.27369,-0.786281,5.29919,-0.778103,-0.491014
315,3.15,5.25202,-0.771411,5.2913,-0.781968,-0.490032
316,3.16,5.29031,-0.809642,5.28329,-0.789023,-0.488877
317,3.17,5.32237,-0.812726,5.27542,-0.795632,-0.48776
318,3.18,5.24036,-0.781679,5.26748,-0.798759,-0.48681
